Year,State,Code,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
2017,ALABAMA,AL,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","61,625",1.7
2017,ALABAMA,AL,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)","40,374",2.2
2017,ALABAMA,AL,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),"2,477",24.9
2017,ALABAMA,AL,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"43,596",15.2
2017,ALABAMA,AL,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),"2,605",24.6
2017,ALABAMA,AL,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)", (D),(D)
2017,ALABAMA,AL,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"5,148",60.1
2017,ALABAMA,AL,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"49,941",16.1
2017,ALABAMA,AL,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (3,000 TO 4,999 ACRES)", (D),(D)
2017,ALABAMA,AL,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"11,924",41.5
2017,ALABAMA,AL,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),"66,504",23
2017,ARIZONA,AZ,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","20,274",12.9
2017,ARIZONA,AZ,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES), (D),(D)
2017,ARIZONA,AZ,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"2,393",(H)
2017,ARIZONA,AZ,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),119,42.1
2017,ARIZONA,AZ,CORN,"CORN, GRAIN - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),208,82.7
