Year,State,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
2017,ALABAMA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","137,406",2.5
2017,ALABAMA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)","82,056",4.5
2017,ALABAMA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),869,48.8
2017,ALABAMA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"51,309",15.2
2017,ALABAMA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),"1,472",22.7
2017,ALABAMA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)","36,050",1.2
2017,ALABAMA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"5,281",64
2017,ALABAMA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"61,288",16.6
2017,ALABAMA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (3,000 TO 4,999 ACRES)", (D),(D)
2017,ALABAMA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (5,000 OR MORE ACRES)", (D),(D)
2017,ALABAMA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"14,341",18.1
2017,ALABAMA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),"75,071",12.3
2017,ARKANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","2,614,725",6.4
2017,ARKANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)","1,004,796",11.2
2017,ARKANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),484,33.8
2017,ARKANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"78,689",17
2017,ARKANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),"1,864",16.7
2017,ARKANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)","702,322",7.7
2017,ARKANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"7,538",17.2
2017,ARKANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"215,481",18.3
2017,ARKANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (3,000 TO 4,999 ACRES)","626,325",6.4
2017,ARKANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (5,000 OR MORE ACRES)","281,282",19.7
2017,ARKANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"21,829",25.4
2017,ARKANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),"557,547",9.5
2017,DELAWARE,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","38,261",0.7
2017,DELAWARE,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)","29,412",0.6
2017,DELAWARE,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),590,91.4
2017,DELAWARE,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"26,838",17.3
2017,DELAWARE,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),787,66.6
2017,DELAWARE,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)","8,849",0.8
2017,DELAWARE,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"5,305",19.3
2017,DELAWARE,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"43,383",17.3
2017,DELAWARE,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"8,384",25.8
2017,DELAWARE,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),"54,794",14.6
2017,GEORGIA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","21,741",0.4
2017,GEORGIA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),483,72.1
2017,GEORGIA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"37,892",5.9
2017,GEORGIA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),"1,637",34.4
2017,GEORGIA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"6,250",83.6
2017,GEORGIA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"40,153",3
2017,GEORGIA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"13,260",29.1
2017,GEORGIA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),"28,806",5.5
2017,ILLINOIS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","3,311,728",5.3
2017,ILLINOIS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)","2,101,997",7.5
2017,ILLINOIS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),"23,017",9.4
2017,ILLINOIS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"1,373,784",3.7
2017,ILLINOIS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),"42,260",12.1
2017,ILLINOIS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)","657,929",6.9
2017,ILLINOIS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"153,615",4.2
2017,ILLINOIS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"2,202,322",2
2017,ILLINOIS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (3,000 TO 4,999 ACRES)","332,919",8
2017,ILLINOIS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (5,000 OR MORE ACRES)","218,883",19.9
2017,ILLINOIS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"426,072",3.4
2017,ILLINOIS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),"3,075,113",4.4
2017,INDIANA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","2,099,152",6.3
2017,INDIANA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)","1,432,548",8.3
2017,INDIANA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),"20,110",19.4
2017,INDIANA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"754,813",4.9
2017,INDIANA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),"30,518",12.8
2017,INDIANA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)","404,422",6.2
2017,INDIANA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"105,592",7
2017,INDIANA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"1,130,028",4.8
2017,INDIANA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (3,000 TO 4,999 ACRES)","208,245",2
2017,INDIANA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (5,000 OR MORE ACRES)","53,937",6.3
2017,INDIANA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"257,386",4.6
2017,INDIANA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),"1,583,773",7
2017,IOWA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","1,764,416",10.6
2017,IOWA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)","1,279,915",14.6
2017,IOWA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),"16,610",9.8
2017,IOWA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"1,893,865",1.9
2017,IOWA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),"31,127",10.6
2017,IOWA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)","238,087",2
2017,IOWA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"151,902",5.6
2017,IOWA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"2,833,192",3.4
2017,IOWA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (3,000 TO 4,999 ACRES)","172,582",1.6
2017,IOWA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (5,000 OR MORE ACRES)","73,832",2.5
2017,IOWA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"540,970",6.2
2017,IOWA,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),"2,717,642",6.8
2017,KANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","1,860,632",10.9
2017,KANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)","1,266,742",15.3
2017,KANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),"6,186",16.2
2017,KANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"665,825",7.6
2017,KANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),"13,049",11.7
2017,KANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)","385,071",15.6
2017,KANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"66,858",17.2
2017,KANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"1,014,933",6.4
2017,KANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (3,000 TO 4,999 ACRES)","162,762",14.4
2017,KANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (5,000 OR MORE ACRES)","46,057",0.6
2017,KANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"207,978",8.3
2017,KANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),"1,284,844",9.6
2017,KENTUCKY,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","943,773",2.1
2017,KENTUCKY,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)","474,085",2.3
2017,KENTUCKY,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),"4,470",27.5
2017,KENTUCKY,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"186,866",24.3
2017,KENTUCKY,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),"8,518",12.7
2017,KENTUCKY,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)","230,665",1.3
2017,KENTUCKY,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"28,919",20.8
2017,KENTUCKY,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"245,027",12.4
2017,KENTUCKY,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (3,000 TO 4,999 ACRES)","159,291",6.8
2017,KENTUCKY,SOYBEANS,SOYBEANS - ACRES HARVESTED,AREA HARVESTED,"AREA HARVESTED: (5,000 OR MORE ACRES)","79,732",1.4
